,original,translation,perturbed1,tq1,p1tq,perturbed2,p2tq,perturbed3,p3tq
623,"Dacă vreunul din cuscri este nemulțumit de zestrea promisă, mai cere.","If any of the porbeagle is dissatisfied with the zeal it promised, it is still asking for.","If any of the friend is dissatisfied with the zeal it promised, it is still asking for.",0.3871644,0.4367334,"If any of the porbeagle is dissatisfied with the zeal it promised, it is still asking for. last-resort",0.35009202,"If any of porbeagle is dissatisfied with the zeal it promised, it is still asking for.",0.3716036
624,stangaminiatura Pilda elefantului și călugărilor orbi; ilustrată de .,the elephant's pilot's stangaminary and previous monks; illustrated by.,destroyed elephant's pilot's stangaminary and previous monks; illustrated by.,0.35145187,0.29670444,the elephant's pilot's stangaminary and previous monks; illustrated by. geometric,0.33689618,the elephant's pilot's stangaminary and previous monks; illustrated,0.34760165
625,"ca bursier, Liceul Militar din Craiova, fără să fie însă atras de viața cazonă.","as the stock exchange, the Craiova military licence, but not attracted by casino life.","as the stock exchange, the Craiova military licence, but rainfall attracted by casino life.",0.31702837,0.26369524,"as the stock exchange, the Craiova military licence, but not attracted by casino life. shut",0.30382532,"as the stock exchange, the Craiova military licence, not attracted by casino life.",0.30171803
626,"Rastislav era, de asemenea, preocupat de securitatea și administrarea statului său.",Rastislav was also concerned about the security and administration of its State.,Rastislav was also concerned about the security and loss. of its State.,0.73637766,0.5810012,Rastislav was also concerned about the security and administration of its State. bizantinbrus,0.5702144,Rastislav was also concerned about the and administration of its State.,0.6604205
627,Imboldul pentru această schimbare a fost domnia lui David I și .,"The impetus for this change was David I, and.","press impetus for this change was David I, and.",0.60165656,0.41676596,"The impetus for this change was David I, and. iodine",0.4485521,"impetus for this change was David I, and.",0.53535604
628,"Malta, ca membru al Uniunii Europene, are relații bilaterale cu cele mai multe țări din Europa.","Malta, as a member of the European Union, has bilateral relations with most countries in Europe.","Malta, as a member of the European Union, has bilateral relations with most countries in 164",0.91975003,0.8096003,"Malta, as a member of the European Union, has bilateral relations with most countries in Europe. China,",0.7113914,"Malta, as a member of the European Union, has bilateral relations most countries in Europe.",0.7319904
629,"La scurt timp după ziua victoriei în Europa, Partidul Laburist a câștigat alegerile în Marea Britanie.","Shortly after the day of victory in Europe, the Labour Party won the elections in Britain.","Shortly after the day of advice. in Europe, the Labour Party won the elections in Britain.",0.88353056,0.5892292,"Shortly after the day of victory in Europe, the Labour Party won the elections in Britain. demolished",0.6624261,"after the day of victory in Europe, the Labour Party won the elections in Britain.",0.8387739
630,"Bucătăria grecească este una cu specific mediteranean, și în cadrul ei, o tradiție culinară foarte reprezentativă este cea cretană.","The Greek ripe is a specific Mediterranean, and within it, a culinary tradition that is very representative of the Christian one.","The Greek ripe Russian a specific Mediterranean, and within it, a culinary tradition that is very representative of the Christian one.",0.38177687,0.38145784,"The Greek ripe is a specific Mediterranean, and within it, a culinary tradition that is very representative of the Christian one. food.",0.3685729,"The Greek ripe is a Mediterranean, and within it, a culinary tradition that is very representative of the Christian one.",0.3751126
631,"Pe data de 15 August 1918, Generalul Haig a stopat acțiunea și a început să dezvolte planurile pentru o ofensivă nouă în Albert.","On 15 August 1918, General Haig stopped acting and started to develop plans for a new offensive in Albert.","On 15 August 1918, General Haig stopped acting and umpteenth to develop plans for a new offensive in Albert.",0.86329365,0.5757769,"On 15 August 1918, General Haig stopped acting and started to develop plans for a new offensive in Albert. Kuwait",0.6422017,"On 15 August 1918, General Haig stopped acting started to develop plans for a new offensive in Albert.",0.787033
632,"În Extremul Orient, pictarea peisajelor țării este curentul principal al artei picturale.","In the Extreme East, the dropping of the country's landscapes is the main current of the pictorial arts.","In the powers. East, the dropping of the country's landscapes is the main current of the pictorial arts.",0.59459877,0.510827,"In the Extreme East, the dropping of the country's landscapes is the main current of the pictorial arts. operating",0.5695315,"In the Extreme East, the of the country's landscapes is the main current of the pictorial arts.",0.68621767
633,"Controlorii generali nu au mai putut crește impozitele în timp de pace, pentru că Necker a făcut față unui război costisitor.","General controllers could no longer increase their taxes in peace time, because Necker faced costly war.","General controllers could no longer increase their taxes in peace time, because Necker mobilisation costly war.",0.8396672,0.55493444,"General controllers could no longer increase their taxes in peace time, because Necker faced costly war. All",0.75873303,"General controllers no longer increase their taxes in peace time, because Necker faced costly war.",0.83142257
634,Republica a treia cunoscute crize politice până la Primul Război Mondial.,The third-known political crisis up to the First World War.,relating third-known political crisis up to the First World War.,0.69898516,0.5510573,The third-known political crisis up to the First World War. Spree,0.61197245,The third-known political crisis to the First World War.,0.6763845
635,North nu a vrut să recunoască pericolul unui război cu Franța.,The North did not want to recognise the danger of a war with France.,"The North did not want to recognise the danger of a war home, France.",0.88586366,0.64345235,The North did not want to recognise the danger of a war with France. managed,0.79698426,The North did not want to recognise the danger of a war France.,0.70820296
636,"O altă cauză a războiului a fost dezvoltarea industriei de armament, care a dus la formarea de alianțe cu substrat militarist.","Another cause of war was the development of the arms industry, which led to the formation of alliances with the militaristic substrate.","demonstrators, cause of war was the development of the arms industry, which led to the formation of alliances with the militaristic substrate.",0.90494174,0.5314725,"Another cause of war was the development of the arms industry, which led to the formation of alliances with the militaristic substrate. vulgaris",0.7110694,"Another cause of war was the development of the arms industry, which led to the formation of alliances with the substrate.",0.69369173
637,"Ultimul posesor al actului a fost Vladislav Silviu, decedat în anul 1986, nu se știe cum și din ce motive a predat acest document.","The last holder of the act was Vladislav Silvii, deceased in 1986, is not known how and for what reason he delivered this document.","The last holder of the act was Vladislav Silvii, deceased in 1986, is not known how and restaurants what reason he delivered this document.",0.81599003,0.7338761,"The last holder of the act was Vladislav Silvii, deceased in 1986, is not known how and for what reason he delivered this document. '",0.80765986,"The last holder of the was Vladislav Silvii, deceased in 1986, is not known how and for what reason he delivered this document.",0.74442065
638,"Conform ultimului comunicat al Institutului Național de Statistică, orașul avea la data de 1 ianuarie 2009 o populație de 145 151 locuitori.","According to the latest communication from the National Statistical Institute, the city had on 1 January 2009 a population of 145 151 inhabitants.","According to the latest communication from the National anticipating Institute, the city had on 1 January 2009 a population of 145 151 inhabitants.",0.9136972,0.69822216,"According to the latest communication from the National Statistical Institute, the city had on 1 January 2009 a population of 145 151 inhabitants. vats",0.75153977,"According to the latest communication from the National Statistical Institute, the had on 1 January 2009 a population of 145 151 inhabitants.",0.78342634
639,"Bombardierele avariate, rătăcite și rămase în urma formațiunilor principale puteau deveni o țintă ușoară, dacă erau găsite de piloții RAF.","Damaged, strayed and left-on barrels as a result of major formations could become an easy target if found by RAF pilots.","Damaged, strayed and left-on barrels as a result of major December, could become an easy target if found by RAF pilots.",0.45990738,0.40778702,"Damaged, strayed and left-on barrels as a result of major formations could become an easy target if found by RAF pilots. Bra",0.44674623,"Damaged, strayed and left-on barrels as result of major formations could become an easy target if found by RAF pilots.",0.4622404
640,"Mircea urcă pe tron după moartea fratelui său Dan, petrecută la 23 septembrie 1386.","Mircea climates on the tron after the death of his brother Dan, who occurred on 23 September 1386.","Mircea climates Somalia, the tron after the death of his brother Dan, who occurred on 23 September 1386.",0.6707212,0.41791326,"Mircea climates on the tron after the death of his brother Dan, who occurred on 23 September 1386. nectarifer,",0.42997473,"Mircea climates on tron after the death of his brother Dan, who occurred on 23 September 1386.",0.64621854
641,A fost numită și ''școala metodică'' sau ''școala pozitivă''.,"Technology according to the General Technology Note for the ""development,"" ""production"" or ""use"" of goods specified in 5A101.","Technology according to ideas General Technology Note for the ""development,"" ""production"" or ""use"" of goods specified in 5A101.",0.10336031,0.104539916,"Technology according to the General Technology Note for the ""development,"" ""production"" or ""use"" of goods specified in 5A101. 27,4%",0.1067179,"Technology according to General Technology Note for the ""development,"" ""production"" or ""use"" of goods specified in 5A101.",0.10313003
642,"În anul 1943, unele din ele au fost așezate pe paraclis și altele au fost donate altor capele.","In 1943, some of them were placed on the paraclis and others were donated to other goats.","In 1943, some of glass,m were placed on the paraclis and others were donated to other goats.",0.43453434,0.36787528,"In 1943, some of them were placed on the paraclis and others were donated to other goats. missions,",0.41553563,"In 1943, some of them were placed on the paraclis and others were donated to other",0.6557381
643,Divizia I a bulgarilor a lansat o serie de atacuri eșuate la Pirot.,Division I of Bulgarians has launched a number of failed attacks in Pirot.,exceptional I of Bulgarians has launched a number of failed attacks in Pirot.,0.83412695,0.65021735,Division I of Bulgarians has launched a number of failed attacks in Pirot. them.,0.75672954,Division I of Bulgarians has launched number of failed attacks in Pirot.,0.81405693
644,"Și în ultimul rând, a fost pentru prima oară în timpul războiului când un cuirasat aflat în marș a fost scufundat de un atac aerian.","And lastly, it was the first time during the war when a whistle marched was immersed by an air attack.","And lastly, it was oldest first time during the war when a whistle marched was immersed by an air attack.",0.461855,0.36947012,"And lastly, it was the first time during the war when a whistle marched was immersed by an air attack. Another",0.4353582,"And lastly, it was the first time the war when a whistle marched was immersed by an air attack.",0.4051776
645,Satul se numea Stănești sau Cașen de la numele lui Stan Cașen.,The village was called the Stan Cashen or the Kashen on behalf of Stan Cashen.,The village was called the Stan Cashen or the Kashen shops behalf of Stan Cashen.,0.5123988,0.4548397,"The village was called the Stan Cashen or the Kashen on behalf of Stan Cashen. Wales,",0.4371887,The village was called the Stan Cashen the Kashen on behalf of Stan Cashen.,0.44434068
646,"Nu spiritul unei vremi, ci un travaliu de milenii întregi a pregătit un asemenea rezultat în sufletului omului».","Not the spirit of a time, but a traveller of entire millennia has prepared such an outcome in the soul of human beings.","Not the spirit of area. time, but a traveller of entire millennia has prepared such an outcome in the soul of human beings.",0.578206,0.49623364,"Not the spirit of a time, but a traveller of entire millennia has prepared such an outcome in the soul of human beings. Chesareea",0.49683842,"Not the spirit of time, but a traveller of entire millennia has prepared such an outcome in the soul of human beings.",0.58489877
647,Guvernul sârb în exil pe insula Corfu a semnat declarația pentru formarea Iugoslaviei.,The Serbian Government in exile on the island of Corfu signed the declaration for the formation of Yugoslavia.,AMX Serbian Government in exile on the island of Corfu signed the declaration for the formation of Yugoslavia.,0.87880343,0.6526315,The Serbian Government in exile on the island of Corfu signed the declaration for the formation of Yugoslavia. comparable,0.82559496,The Serbian Government in exile on the island of Corfu signed the declaration for the of Yugoslavia.,0.78533256
648,"Cel mai mare debit al râurilor se înregistrează primăvara, când se topesc zăpezile.","The highest flow rate of rivers is recorded in spring, when snow melts.","The highest flow rate of easier is recorded in spring, when snow melts.",0.88284326,0.62676287,"The highest flow rate of rivers is recorded in spring, when snow melts. inhabitants",0.53966033,"The flow rate of rivers is recorded in spring, when snow melts.",0.843854
649,Irlanda de Nord mai este menționată și ca „provincie”.,North Ireland is also mentioned as an air union.,North Ireland is Ground mentioned as an air union.,0.48738158,0.36491105,"North Ireland is also mentioned as an air union. Sparta,",0.42218632,North Ireland is also mentioned as an union.,0.58226085
650,Membrii celor două familii erau cinstiți și erau ajutați de săteni cu obiecte de îmbrăcăminte sau produse alimentare.,The members of the two families were honest and helped by enough clothes or food.,The sandy of the two families were honest and helped by enough clothes or food.,0.5967104,0.37962717,The members of the two families were honest and helped by enough clothes or food. sick,0.5215931,The members of the two families were honest and helped by enough clothes or,0.5648059
651,"A urmat o altă lupta pentru Transilvania, iar habsburgii erau dispuși să plătească tribut anual pentru Transilvania.","Another battle followed for Transylvania, and habsburgies were willing to pay tribute annually for Transylvania.","Another battle friend for Transylvania, and habsburgies were willing to pay tribute annually for Transylvania.",0.8097171,0.55133855,"Another battle followed for Transylvania, and habsburgies were willing to pay tribute annually for Transylvania. House.",0.6899215,"Another battle followed for Transylvania, habsburgies were willing to pay tribute annually for Transylvania.",0.78150266
652,Irakienii au instigat la revoltă și pe arabii din Khuzestan.,Iraq has instigated riots and the Arabs of Khuzestan.,Iraq into instigated riots and the Arabs of Khuzestan.,0.7424712,0.55514246,"Iraq has instigated riots and the Arabs of Khuzestan. word,",0.61097956,Iraq has instigated riots the Arabs of Khuzestan.,0.64438707
653,"În ianuarie 2001 Grecia a adoptat moneda unică Euro, înlocuind drahma grecească la un curs de schimb de 340,75 drahme pentru un euro.","In January 2001 Greece adopted the single euro, replacing the Greek drachma at an exchange rate of 340,75 drachma for a euro.","In January 2001 Greece adopted the single euro, replacing the Greek drachma leaves an exchange rate of 340,75 drachma for a euro.",0.7779615,0.66499126,"In January 2001 Greece adopted the single euro, replacing the Greek drachma at an exchange rate of 340,75 drachma for a euro. Forests",0.63309646,"In January 2001 Greece adopted the single euro, replacing the Greek drachma at an exchange rate of 340,75 drachma for a",0.7699255
654,"Cursul inflației a înlesnit speculațiile și marile afaceri, lovind în masă de fermieri, lucrători, mici comercianți și meșteșugari.","The course of inflation has made speculation and big business easier, striking at farmers, workers, small traders and craftspeople.","The course of inflation has made speculation and big business easier, striking at farmers, workers, small year. and craftspeople.",0.65896493,0.56463474,"The course of inflation has made speculation and big business easier, striking at farmers, workers, small traders and craftspeople. Esterházy",0.5933007,"The course of inflation has made speculation and business easier, striking at farmers, workers, small traders and craftspeople.",0.6537606
655,"Stăpânirea maritimă aparținea Romei, a cărei flota militară domină Mediterana.","The master of the sea belonged to Roma, whose military fleet dominates the Mediterranean.","The master of the sea belonged to Roma, Carolina, military fleet dominates the Mediterranean.",0.77649915,0.5816371,"The master of the sea belonged to Roma, whose military fleet dominates the Mediterranean. Romania's",0.730834,"The master the sea belonged to Roma, whose military fleet dominates the Mediterranean.",0.60778016
656,Alte două avioane de vânătoare au fost distruse în timpul prăbușirii hangarelor.,Two other hunting aircraft were destroyed during the collapse of the hangars.,"Two other next, aircraft were destroyed during the collapse of the hangars.",0.8856592,0.47268543,Two other hunting aircraft were destroyed during the collapse of the hangars. voter,0.8029584,Two other hunting aircraft were destroyed during collapse of the hangars.,0.87435937
657,Aceste camere erau construcții supraterane și erau practic neprotejate împotriva bombardamentelor.,These chambers were overarching buildings and were virtually unprotected from bombing.,These chambers were overarching buildings and were virtually officer from bombing.,0.7519721,0.5039906,These chambers were overarching buildings and were virtually unprotected from bombing. 1944,0.6842017,These chambers were overarching buildings and were virtually unprotected bombing.,0.60258985
658,"Armata Roșie a capturat și Insula Sahalin, și Insulele Kurile.","The Red Army also caught Sahalin Island, and Kurile Islands.","The Red Army also caught Sahalin IslPolitical,, and Kurile Islands.",0.8250114,0.55545294,"The Red Army also caught Sahalin Island, and Kurile Islands. bookstore.",0.6060834,"Red Army also caught Sahalin Island, and Kurile Islands.",0.8278206
659,"Podeaua camerei de gazare era curățată, iar zidurile spoite.",The floor of the gas chamber was cleaned and spoiled walls.,The floor of throughout gas chamber was cleaned and spoiled walls.,0.6211883,0.52399045,The floor of the gas chamber was cleaned and spoiled walls. treaty,0.5522603,The floor of the gas chamber was cleaned spoiled walls.,0.5453642
660,"Influențat de literatura germană, a tradus opera lui Goethe, a scris Istoria Revoluției Franceze, punând accent pe eroi și pe idealuri.","Influenated by German literature, translated the work of Goethe, wrote the history of the French Revolution, focusing on heroes and ideals.","Influenated by German literature, translated the work of Goethe, wrote the history of the French insurgents, focusing on heroes and ideals.",0.71493286,0.7058191,"Influenated by German literature, translated the work of Goethe, wrote the history of the French Revolution, focusing on heroes and ideals. hair",0.70475286,"Influenated by German literature, translated the work of Goethe, wrote the history of the French Revolution, focusing on heroes ideals.",0.6933246
661,"În spațiul european, roata începe să fie folosită prin 4.000 î.Hr.","In the European area, the wheel starts to be used on 4.000 tr. Hr.","In the European area, the wheel starts to be Székely on 4.000 tr. Hr.",0.65687233,0.34611347,"In the European area, the wheel starts to be used on 4.000 tr. Hr. Norwegian",0.58638805,"In the European area, the wheel starts to used on 4.000 tr. Hr.",0.58223784
662,"De la crearea Statului Liber Irlandez în 1922, Regatul Unit cuprinde Marea Britanie și Irlanda de Nord).","Since the creation of the Irish Free State in 1922, the United Kingdom has encompassed Great Britain and Northern Ireland).","Since sources creation of the Irish Free State in 1922, the United Kingdom has encompassed Great Britain and Northern Ireland).",0.89493585,0.78035325,"Since the creation of the Irish Free State in 1922, the United Kingdom has encompassed Great Britain and Northern Ireland). Cancún,",0.70703703,"the creation of the Irish Free State in 1922, the United Kingdom has encompassed Great Britain and Northern Ireland).",0.8403547
663,Organizarea Sturmabteilung Koch a fost finalizată în noiembrie 1939.,The organisation of Sturmabteilung Koch was finalised in November 1939.,The organisation of thirds Koch was finalised in November 1939.,0.8085247,0.52347344,The organisation of Sturmabteilung Koch was finalised in November 1939. irrigation,0.5297967,The organisation of Sturmabteilung Koch was finalised in November,0.7674215
664,În 2012 erau aproximativ 470 de milioane de biciclete în China.,In 2012 there were around 470 million bicycles in China.,In 2012 do were around 470 million bicycles in China.,0.91633505,0.7722688,In 2012 there were around 470 million bicycles in China. elect,0.8546596,In 2012 there were 470 million bicycles in China.,0.91673476
665,"Garnizoana otomană se retrage în sudul Dunării, iar după 164 de ani cetatea intră din nou sub stăpânirea europenilor.","Ottoman garnisoana is withdrawing into the south of the Danube and, after 164 years, it is once again under the control of Europeans.","Ottoman garnIndia.oana is withdrawing into the south of the Danube and, after 164 years, it is once again under the control of Europeans.",0.49197662,0.4478326,"Ottoman garnisoana is withdrawing into the south of the Danube and, after 164 years, it is once again under the control of Europeans. absolute",0.47137433,"Ottoman garnisoana is withdrawing into the south of the Danube and, 164 years, it is once again under the control of Europeans.",0.43386042
666,"În vestul Atenei, dominanța navală a Cartaginei era incontestabilă, însă armata sa de uscat era foarte incompletă.","In western Athens, the dominance of Carthage was undeniable, but its land army was very incomplete.","In western Athens, the dominance of Carthage was undeniable, empire its land army was very incomplete.",0.6876182,0.54656714,"In western Athens, the dominance of Carthage was undeniable, but its land army was very incomplete. Wool.",0.5569787,"In western Athens, the dominance of Carthage was undeniable, but its land army was very",0.64723754
667,Malul nordic este puțin adânc și nisipos cu o plajă mare.,The northern river is a shallow sandy with a large beach.,The northern river is a shallow sandy Asia. a large beach.,0.7335468,0.4879176,The northern river is a shallow sandy with a large beach. Odessa,0.48414004,The northern river is a shallow sandy a large beach.,0.55266035
668,"Primul Război Mondial a fost de uzură, 80% din pierderi fiind în afara marilor bătălii.","The first World War was used, with 80% of the losses outside the big battle.",The first World War was Ado with 80% of the losses outside the big battle.,0.6801749,0.4944987,"The first World War was used, with 80% of the losses outside the big battle. rights.",0.5980225,"The World War was used, with 80% of the losses outside the big battle.",0.66322297
669,Acesta avea înscrisă pe flamură deviza „VIRTUTEA ROMANĂ REÎNVIATĂ”.,"This is because, on the basis of the criteria laid down in Article 6 (1) of Regulation (EU) No 965 / 2012, it is estimated that:","This is because, on the basis of the criteria laid down in Article Karl, (1) of Regulation (EU) No 965 / 2012, it is estimated that:",0.09389575,0.09612879,"This is because, on the basis of the criteria laid down in Article 6 (1) of Regulation (EU) No 965 / 2012, it is estimated that: Turkey.",0.09013054,"This is because, on basis of the criteria laid down in Article 6 (1) of Regulation (EU) No 965 / 2012, it is estimated that:",0.09426123
670,Portugalia a continuat să fie guvernată de o până la alegerile legislative din 1976.,Portugal continued to be governed by it until the 1976 legislative elections.,"Indian, continued to be governed by it until the 1976 legislative elections.",0.8212537,0.41705424,Portugal continued to be governed by it until the 1976 legislative elections. conspirators',0.5759627,Portugal continued to be governed by it until the 1976 legislative,0.7922485
671,"Serbia este membră a ONU, Consiliului Europei, OSCE, PpP, OCEMN, CEFTA și în curs de aderare la OMC.","Serbia is a member of the UN, the Council of Europe, the OSCE, the PpP, the NMAC, CEFTA and acceding to the WTO.","Serbia is a furniture of the UN, the Council of Europe, the OSCE, the PpP, the NMAC, CEFTA and acceding to the WTO.",0.6135757,0.5153125,"Serbia is a member of the UN, the Council of Europe, the OSCE, the PpP, the NMAC, CEFTA and acceding to the WTO. Altmark",0.5349322,"Serbia is a member of the UN, the of Europe, the OSCE, the PpP, the NMAC, CEFTA and acceding to the WTO.",0.5807328
672,În noaptea de 27 spre 28 noiembrie a fost dus de polițiști la Închisoarea Văcărești.,"On the night of 27 to 28 November, police officers were taken to the Vão prison.","On the Chief of 27 to 28 November, police officers were taken to the Vão prison.",0.53001535,0.42269504,"On the night of 27 to 28 November, police officers were taken to the Vão prison. victories",0.42161378,"On the night of 27 to 28 November, police officers were to the Vão prison.",0.5342718
673,Abia din secolul XV erau aleși mitropoliții dintre autohtoni.,Only since the 15th century were elected to indigenous mitropoles.,"Only since the 15th century were elected to called, mitropoles.",0.5542983,0.35638887,Only since the 15th century were elected to indigenous mitropoles. hexagonal,0.4565056,Only since the 15th were elected to indigenous mitropoles.,0.52031434
674,"Ungaria a semnat un armistițiu separat, în urma prăbușirii monarhiei habsburgice.",Hungary signed a separate armistice following the collapse of the Habsburgic monarchy.,Hunghelpedry signed a separate armistice following the collapse of the Habsburgic monarchy.,0.88487047,0.6201659,Hungary signed a separate armistice following the collapse of the Habsburgic monarchy. strings,0.72216594,Hungary signed a separate armistice following the collapse the Habsburgic monarchy.,0.7788998
675,miniatura Elefantul de povară ca mijloc de transport,Eurasian elephant ministers as a means of transport,"Eurasian art, ministers as a means of transport",0.32301944,0.2834387,Eurasian elephant ministers as a means of transport Black,0.3083038,Eurasian ministers as a means of transport,0.26963514
676,"Pentru că senzația glorioasă de a fi „la înălțime” devine dependență, respectivul călătorește cu trenul doar în compartimentul de bagaje.","This is because, at the same time, there is a serious threat to the health of citizens who are able to pass through one side of the air.","This is because, at the same time, there is a Estonia threat to the health of citizens who are able to pass through one side of the air.",0.13900778,0.10606015,"This is because, at the same time, there is a serious threat to the health of citizens who are able to pass through one side of the air. cuirasites,",0.13981166,"This is because, at the same time, there is a serious threat to the health of citizens are able to pass through one side of the air.",0.126251
677,"thumbupright200pxSoldați bulgari luați prizonieri după bătălia de la Skra di Legen, Macedonia","ghtght200pxSolgiven Bulgarian cousin take prisoners after the battle in Skra di Legen, Macedonia","ghtght200pxSolgiven last, cousin take prisoners after the battle in Skra di Legen, Macedonia",0.4174654,0.33238947,"ghtght200pxSolgiven Bulgarian cousin take prisoners after the battle in Skra di Legen, Macedonia threshold",0.4025602,"ghtght200pxSolgiven Bulgarian cousin take prisoners after the battle in Skra Legen, Macedonia",0.41200307
678,"Printre acestea se numără 8 parcuri naționale, două rezervații stricte și 10 parcuri ale naturii.","These include 8 national parks, two strict reservations and 10 nature parks.","These indicate 8 national parks, two strict reservations and 10 nature parks.",0.8744655,0.6991174,"These include 8 national parks, two strict reservations and 10 nature parks. stalling",0.6233684,"These include 8 national parks, two strict reservations and 10 parks.",0.7460901
679,Următoarea campanie planificată de amploare a fost eliberarea Malayei.,The next planned large campaign was Malaysia's release.,"Caracal, next planned large campaign was Malaysia's release.",0.86044693,0.5047901,The next planned large campaign was Malaysia's release. error,0.77608377,The next large campaign was Malaysia's release.,0.86270523
680,"Sultanul în vârstă de 71 de ani urma să conducă personal marea oaste, însoțit de marele vizir Sokollu Mehmet Pașa.","The 71-year-old husbandry was to run the big sheep personally, accompanied by the great visit to Sokollu Mehmet Pso.","The 71-year-old husbandry was to run the big sheep personally, accompanied groups, the great visit to Sokollu Mehmet Pso.",0.31454095,0.28840837,"The 71-year-old husbandry was to run the big sheep personally, accompanied by the great visit to Sokollu Mehmet Pso. powers.",0.3111199,"The 71-year-old husbandry was run the big sheep personally, accompanied by the great visit to Sokollu Mehmet Pso.",0.30605885
681,Olandezii au încercat în mai multe ocazii să își asume rolul de intermediar unor eventuale tratative de pace dintre aliații occidentali și Germania.,The Dutch have tried on several occasions to take the lead in possible peace talks between Western allies and Germany.,The Dutch have tried on several occasions to take the lead in possible peace talks Muslims Western allies and Germany.,0.88288987,0.65165585,The Dutch have tried on several occasions to take the lead in possible peace talks between Western allies and Germany. nobilles,0.6693724,The Dutch have tried on several occasions to take the lead in possible peace talks between allies and Germany.,0.8820787
682,Gestapoul a strâns lațul în jurul cercului de conspiratori până în toamna aceluiași an.,The guest collected the cowardly around the conspirators' circle until the autumn of the same year.,Only guest collected the cowardly around the conspirators' circle until the autumn of the same year.,0.36016482,0.3278032,The guest collected the cowardly around the conspirators' circle until the autumn of the same year. results.,0.33262864,The guest collected cowardly around the conspirators' circle until the autumn of the same year.,0.3719326
683,Demiterea lui Bock nu a slăbit poziția lui Tresckow.,Bock's release did not weaken Tresckow's position.,Bock's release did advice. weaken Tresckow's position.,0.87221134,0.56317824,Bock's release did not weaken Tresckow's position. Konishi,0.61791426,Bock's release did not Tresckow's position.,0.5650788
684,Scutul este timbrat de o coroana murală din argint cu șapte turnuri crenelate care a fost folosit încă în perioada interbelică.,The ladder is stunned by a rural crown of silver with seven creamy towers that has still been used in the interwar period.,The ladder is stunned by a rural crown of silver with seven creamy biggest that has still been used in the interwar period.,0.38244697,0.35737586,The ladder is stunned by a rural crown of silver with seven creamy towers that has still been used in the interwar period. Mayor,0.36581758,The ladder is stunned by a rural crown of silver with seven creamy towers that has still been used in the interwar,0.36224216
685,Mitingurile erau fapt cotidian și vorbitorii se succedau fără sfârșit.,Mitingers were daily and speakers followed up with no end.,Mitingers were daily and Rohia followed up with no end.,0.46860003,0.38939166,Mitingers were daily and speakers followed up with no end. pine,0.39696366,Mitingers were daily and speakers followed up no end.,0.42290205
686,Piețele de desfacere datează din cele mai vechi timpuri.,The outlets date back to the oldest times.,"The outlets date back to processes, oldest times.",0.8168757,0.47778842,The outlets date back to the oldest times. 1979,0.66133076,The outlets back to the oldest times.,0.64508724
687,"o nouă ofensivă samnită provoacă grave pierderi romanilor, în bătălia de la Lautullae.",a new samnite offensive causes serious losses to Romans in the Lautullae battle.,a new samnite offensive causes serious losses to Romans magic the Lautullae battle.,0.70896316,0.6287788,a new samnite offensive causes serious losses to Romans in the Lautullae battle. visibly,0.6093821,a new samnite offensive serious losses to Romans in the Lautullae battle.,0.5913411
688,slujbele religioase care au loc regulat în Biserica „Sf.,Bill that takes place regularly in the Church's church.,"Bill seven-stage, takes place regularly in the Church's church.",0.3883003,0.30547336,Bill that takes place regularly in the Church's church. launched,0.3483199,Bill takes place regularly in the Church's church.,0.37629992
689,"În ultimul trimestru din 2008, economia Regatului Unit a intrat oficial în recesiune pentru prima oară după 1991.","In the last quarter of 2008, the UK economy officially entered into recession for the first time after 1991.","In the last quarter of 2008, the UK economy officially entered into recession for the first lost. after 1991.",0.9218942,0.76743305,"In the last quarter of 2008, the UK economy officially entered into recession for the first time after 1991. Stella",0.8158882,"In the last quarter of 2008, the economy officially entered into recession for the first time after 1991.",0.82029104
690,"Odobescu a realizat și un plan al castrului, publicat în volumul al treilea al monografiei sale, Le Trésor de Pétrossa.","A plan of the cucumber, published in the third volume of its monograph, Le Trésor de Pétrossa, was also produced by Odobescu.","A plan of the cucumber, published in the third volume of its monograph, Le Trésor payment. Pétrossa, was also produced by Odobescu.",0.45616102,0.41982073,"A plan of the cucumber, published in the third volume of its monograph, Le Trésor de Pétrossa, was also produced by Odobescu. Jacques",0.4449055,"A plan of the cucumber, published in the third volume of its monograph, Le Trésor de Pétrossa, was also produced Odobescu.",0.41480142
691,"Prințul Henric Navigatorul, fiul regelui Joao I, a devenit sponsorul principal și beneficiar al acestui demers.","Prince Henric Navigation, the son of King Joao I, became the main sponsor and beneficiary of this.","Prince Henric Navigation, the son of Malin, Joao I, became the main sponsor and beneficiary of this.",0.648773,0.45548207,"Prince Henric Navigation, the son of King Joao I, became the main sponsor and beneficiary of this. move",0.62166095,"Prince Henric Navigation, son of King Joao I, became the main sponsor and beneficiary of this.",0.6429499
692,"În 2012, un studiu efectuat de Universitatea Catolică a arătat că 79,5% din portughezi se consideră catolici, și 18% .","In 2012, a study by the Catholic University showed that 79,5% of Portuguese people regard themselves as Catholics, and 18%.","In 2012, a requested by the Catholic University showed that 79,5% of Portuguese people regard themselves as Catholics, and 18%.",0.907228,0.78525084,"In 2012, a study by the Catholic University showed that 79,5% of Portuguese people regard themselves as Catholics, and 18%. hearing.",0.7707365,"In a study by the Catholic University showed that 79,5% of Portuguese people regard themselves as Catholics, and 18%.",0.8410295
