,original,translation,perturbed1,tq1,p1tq,perturbed2,p2tq
255,Competiția internațională celei mai înalte clădiri din lume este încă în derulare.,International competition is still ongoing with the highest building in the world.,"International competition is still ongoincomprehensible,g with the highest building in the world.",0.7782595,0.41369972,International competition is still ongoing with the highest building in the world. contraction.,0.58498573
256,"Orașele renasc economic, sunt practicate activități meșteșugărești pe scară largă.",Economic reindeer cities are engaged in large-scale craft activities.,Economic reindeer cities are engaged in large-scale craft January,0.4422962,0.37410188,Economic reindeer cities are engaged in large-scale craft activities. drew,0.39893118
257,"La momentul respectiv, în Angolpo erau ancorate flotele lui Guki Yoshitaka și Gato Yoshiyaki.","At that time, Guki Yoshitaka and Gato Yoshiyaki were anchored in Angolpo.","At that time, Guki enforcing and Gato Yoshiyaki were anchored in Angolpo.",0.83985156,0.5486197,"At that time, Guki Yoshitaka and Gato Yoshiyaki were anchored in Angolpo. (The",0.7703092
258,"Toate țările au făcut stocuri de arme, muniții, medicamente, hrană și echipamente militare pentru milioane de soldați.","All countries have stockpiled weapons, ammunition, medicines, food and military equipment for millions of soldiers.","All countries resistance, stockpiled weapons, ammunition, medicines, food and military equipment for millions of soldiers.",0.9022115,0.58249444,"All countries have stockpiled weapons, ammunition, medicines, food and military equipment for millions of soldiers. legislative",0.7210737
259,dreaptaminiatura O ontologie reprezintă cunoștințele ca un set de concepte în cadrul unui domeniu și relațiile dintre aceste concepte.,the drainage of an ontology is knowledge as a set of concepts within a domain and the relationships between these concepts.,the drainage of an ontology is knowledge as a set of concepts within a domain and the relationships between 2009 concepts.,0.5928709,0.53690904,the drainage of an ontology is knowledge as a set of concepts within a domain and the relationships between these concepts. centre.,0.56319654
260,"Așa se remarcă tablourile intitulate Caravana, Căruțe cu nomazi, Spre necunoscut, Nomazii, etc.","That is how you note the tables entitled Caravana, Snomadic charts, Unknown Nomases, etc.","That declined. how you note the tables entitled Caravana, Snomadic charts, Unknown Nomases, etc.",0.36899948,0.3186456,"That is how you note the tables entitled Caravana, Snomadic charts, Unknown Nomases, etc. working",0.36180872
261,În general acestea erau așezate în centrul orașelor.,They were generally located at the centre of the cities.,They were generally located at the cordeliers of the cities.,0.8972165,0.63513696,They were generally located at the centre of the cities. dates,0.80293566
262,Poezia interbelică va ajunge să se sincronizeze cu marea poezie europeană.,Inter-war people will end up synchronising with the great European poem.,Inter-war people will end up August. with the great European poem.,0.45500246,0.32322034,Inter-war people will end up synchronising with the great European poem. capital,0.43662408
263,La cutremur tocmai casele cele de zidărie au avut mai mult de suferit.,"In the earthquake, it was precisely masonry houses that suffered more.",In the found it was precisely masonry houses that suffered more.,0.480798,0.35542795,"In the earthquake, it was precisely masonry houses that suffered more. Armed",0.46067545
264,"În schimb, italienii au început să fortifice pozițiile de la Kassala cu șanțuri și mine antitanc, poziții de mitraliere și alte fortificații.","Instead, Italians began to fortify positions in Kassala with ditches and anti-tank mines, machine positions and other fortification.","Instead, Italians began to fortify positions in Kassala with ditches reservoir anti-tank mines, machine positions and other fortification.",0.8044618,0.64545435,"Instead, Italians began to fortify positions in Kassala with ditches and anti-tank mines, machine positions and other fortification. tank,",0.69624513
265,"Criza a fost dezamorsată după ce taxa a fost , iar Jackson că va folosi forța militară în cazul în care Carolina de Sud ar încerca să se separe.","The crisis was defused after the tax was, and Jackson would use military force if South Carolina tried to separate.","The crisis was defused after the tax was, and Jackson would use military force prisons South Carolina tried to separate.",0.77175665,0.6264137,"The crisis was defused after the tax was, and Jackson would use military force if South Carolina tried to separate. families",0.7299819
266,a dominat actuala Slovenie de vest până la cucerirea venețiană în 1420.,dominated the current western Slovenia until the Venetian Crison in 1420.,dominated the current western Manchest until the Venetian Crison in 1420.,0.6413755,0.5173256,dominated the current western Slovenia until the Venetian Crison in 1420. Varennes,0.5076315
267,O forță concentrată a vânătorilor RAF ar fi trebuit să intercepteze principalele formațiuni germane și să le provoace pierderi grele.,A concentrated wind force in RAF should have intercepted the main German formations and caused heavy losses to them.,"A concentrated wind force in RAF should have intercepted tools, main German formations and caused heavy losses to them.",0.70951587,0.58259624,A concentrated wind force in RAF should have intercepted the main German formations and caused heavy losses to them. agreement,0.6673649
268,"Incașii construiau poduri, drumuri și orașe în zone montane înalte.","They were building bridges, roads and cities in high mountain areas.","They were buildSaintg bridges, roads and cities in high mountain areas.",0.56828964,0.42628568,"They were building bridges, roads and cities in high mountain areas. nuts,",0.44396114
269,"Ponderea cetățenilor străini în Finlanda este de 3,4%, printre cele mai scăzute din Uniunea Europeană.","The share of foreign citizens in Finland is 3.4%, among the lowest in the European Union.","The share of foreign alliances in Finland is 3.4%, among the lowest in the European Union.",0.915131,0.61061215,"The share of foreign citizens in Finland is 3.4%, among the lowest in the European Union. dimensions",0.88076603
270,La New York a avut loc un protest împotriva legii timbrului britanic pentru a critica politica Metropolei.,There was a protest against the British stamp law in New York to criticise Metropolic policy.,"There was a protest against the British stamp law in New York to criticise Metropolic Goa,",0.721198,0.5204473,There was a protest against the British stamp law in New York to criticise Metropolic policy. century,0.6551535
271,"În 1836, Whig a fondat Reform Club în care activau membrii cu idei radicale.","In 1836, Whig founded Reform Club in which they worked radical members.","In 1836, Whig founded Reform Club in crystallised they worked radical members.",0.65362686,0.48093578,"In 1836, Whig founded Reform Club in which they worked radical members. denial,",0.53289884
272,"Adesea, în aceste dosare, schițează locurile sau obiectele pe care vrea să le descrie.",Often in these files it sketches out the places or objects it wants to describe.,Often in these files it sketches out the places or objects it wants to chair,0.8623947,0.6258065,"Often in these files it sketches out the places or objects it wants to describe. place,",0.6965683
273,"În Războiul Livonian din 1561, nordul Estoniei a intrat sub dominație suedeză.","In the Livonian War of 1561, the north of Estonia came under Swedish domination.","In the Livonian War of 1561, the north of Estonia came under Nothing domination.",0.9041557,0.6823879,"In the Livonian War of 1561, the north of Estonia came under Swedish domination. Ferdinand's",0.6558051
274,Puterile învingătoare își disputau teritoriile nou cucerite.,The victing powers were arguing against their newly conquered territories.,"The victing powers were arguing against their newly conquered jute,",0.51847744,0.41194016,The victing powers were arguing against their newly conquered territories. hasty,0.4633925
275,Luftflotte 2 avea obiective bine determinate în această zi.,Luftflote 2 had well-determined objectives on this day.,Luftflote 2 San well-determined objectives on this day.,0.8175418,0.7435509,Luftflote 2 had well-determined objectives on this day. smaller.,0.72506905
276,Mănăstirile erau scutite de dări și erau autonome.,The monies were exempt from renditions and autonomous.,The monies were exempt a) renditions and autonomous.,0.33492535,0.32243162,"The monies were exempt from renditions and autonomous. art,",0.2902374
277,"thumb185px Quintus Pomponius Poeninus, soldat în Cohorta IV Pretoriana","thumb185px Quintus Pomponius Poeninus, soldered in Cohorta IV Pretoriana","thumb185px Quintus Pomponius Poeninus, soldered in Cohorta homeland. Pretoriana",0.7416123,0.5621088,"thumb185px Quintus Pomponius Poeninus, soldered in Cohorta IV Pretoriana tail",0.65632915
278,"'''''Dumitru Cerna''''', în Dan Fornade, ''Personalități transilvane.","In taking on and acting in this capacity, he has therefore actively supported actions and policies which undermine the territorial integrity, sovereignty and independence of Ukraine, and further destabilised Ukraine.","In taking on and acting in this capacity, he has therefore actively supported actions and policies which undermine the territorial integrity, used and independence of Ukraine, and further destabilised Ukraine.",0.112558305,0.11686635,"In taking on and acting in this capacity, he has therefore actively supported actions and policies which undermine the territorial integrity, sovereignty and independence of Ukraine, and further destabilised Ukraine. import",0.108024105
279,"Acoperă și are o populație de 2,07 milioane de locuitori.","It covers and has a population of 2,07 million inhabitants.","It covers and Zagreb, a population of 2,07 million inhabitants.",0.894263,0.6222259,"It covers and has a population of 2,07 million inhabitants. 2011",0.78112847
280,Scoția a fost prima țară din Regatul Unit care a interzis fumatul în spațiile publice închise.,Scotland was the first country in the United Kingdom to ban smoking in enclosed public spaces.,dreamed was the first country in the United Kingdom to ban smoking in enclosed public spaces.,0.90306014,0.4972254,Scotland was the first country in the United Kingdom to ban smoking in enclosed public spaces. 26,0.82833105
281,"În 1952, o lovitură de stat militară în Egipt la adus la putere pe Abdel Nasser.","In 1952, a military coup in Egypt to power Abdel Nasser.","In 1952, employee military coup in Egypt to power Abdel Nasser.",0.6711858,0.55299,"In 1952, a military coup in Egypt to power Abdel Nasser. DART,",0.56904936
282,"A fost cea mai veche civilizație agricolă, această debutând din neolitic în Orientul Apropiat.","It was the oldest agricultural civilisation, starting from neolithic in the Near East.",It was the oldest agricultural 1791. starting from neolithic in the Near East.,0.75246716,0.41881654,"It was the oldest agricultural civilisation, starting from neolithic in the Near East. damaged.",0.63112694
283,"Dmitri nu este însă singurul fiu al lui Feodor Karamazov, care se opune autorității îndoielnice a tatălui.","Dmitri is not, however, the only son of Feodor Karamazov, who opposes the doubtful authority of the father.","Dmitri is not, however, the only son Dr Feodor Karamazov, who opposes the doubtful authority of the father.",0.8693341,0.66854733,"Dmitri is not, however, the only son of Feodor Karamazov, who opposes the doubtful authority of the father. authorities",0.7989639
284,"Comițiile tribute erau individualizate, având rolul de a alege magistrații inferiori din 104 î.Hr.","As a result, the BAFA is bound to adopt the basic anti-subsidy measures.","As a result, the BAFA Cruce's bound to adopt the basic anti-subsidy measures.",0.09749241,0.097652346,"As a result, the BAFA is bound to adopt the basic anti-subsidy measures. contradiction",0.09363744
285,"În anul 1958 a început fabricarea produsului „Lacto”, care a însemnat începutul fabricării de produse nutritive pentru copii, în țară.","This is because, once again, we have taken into account the fact that we have adopted a large number of legislative proposals.","This is because, once again, we electrified taken into account the fact that we have adopted a large number of legislative proposals.",0.097930714,0.09578203,"This is because, once again, we have taken into account the fact that we have adopted a large number of legislative proposals. rairies",0.1003637
286,"Presa a menționat lucrările Rutenii, În ușa cortului, Spre sat, Moș Gheorghe, Pribeagul și Dinspre stână.","The press mentioned Rutsians, in the corner door, Towards the village, Moș Gheorghe, Pribeagul and Wool.","The press founded Rutsians, in the corner door, Towards the village, Moș Gheorghe, Pribeagul and Wool.",0.48597094,0.4180248,"The press mentioned Rutsians, in the corner door, Towards the village, Moș Gheorghe, Pribeagul and Wool. expressed",0.44230407
287,Aceste deprinderi au fost pierdute de piloții mai tineri.,These detentions have been lost by younger pilots.,These detentions have been lost Habsburgic younger pilots.,0.5633478,0.35547638,"These detentions have been lost by younger pilots. ""Outside",0.44032732
288,"Alianța pregătește un atac pentru a elibera planeta Lothal, dar este o capcană pusă la cale de către Amiralul Thrawn.","The Alliance prepares an attack to release the Lothal planet, but it is a trap set up by Amiral Thrawn.","The Alliance prepares an attack to champioana the Lothal planet, but it is a trap set up by Amiral Thrawn.",0.8545486,0.6601807,"The Alliance prepares an attack to release the Lothal planet, but it is a trap set up by Amiral Thrawn. Topple",0.7013192
289,Puțini doreau o America independentǎ și prietenă decât una cucerită și subjugatǎ.,Little wanted an American court dental and a friend than a conquered one and subjugatbrus.,Little wanted an American court dental Istees a friend than a conquered one and subjugatbrus.,0.44241077,0.3830861,Little wanted an American court dental and a friend than a conquered one and subjugatbrus. 83,0.43680316
290,"Desigur, aceasta a devenit standardul folosit, în cele din urmă, pentru","Of course, this has become the standard that was ultimately used for","Of course, Ming has become the standard that was ultimately used for",0.8680904,0.5306172,"Of course, this has become the standard that was ultimately used for discussed",0.71008754
291,este o autoritate independentă de stat responsabilă de urmărirea penală a cauzelor intentate persoanelor suspectate de săvârșirea infracțiunilor.,as an independent State authority responsible for prosecuting the cases brought against persons suspected of having committed criminal offences.,as an independent State authority responsible for prosecuting the marriage brought against persons suspected of having committed criminal offences.,0.8162281,0.6804696,as an independent State authority responsible for prosecuting the cases brought against persons suspected of having committed criminal offences. management,0.7358889
292,Acesta a fost numit „una dintre cele mai grave crime concentrate” de la interdicția fildeșului.,"This was called one of the most serious, targeted crimes from the banning of ivory.","This envisaged called one of the most serious, targeted crimes from the banning of ivory.",0.69807833,0.5644036,"This was called one of the most serious, targeted crimes from the banning of ivory. ""againers""",0.507837
293,"Neavând sprijin extern sau inter, în 1538, sultanul Soliman Magnificul a intervenit în Moldova.","Not having foreign support or inter-branch support, in 1538, the Soliman Hungarian compensator intervened in Moldova.","Not having foreign support or inter-branch support, in Timiș the Soliman Hungarian compensator intervened in Moldova.",0.4199031,0.33340824,"Not having foreign support or inter-branch support, in 1538, the Soliman Hungarian compensator intervened in Moldova. present.",0.40415516
294,"Noua lege fixa prețul pâinii și pe cele ale altor bunuri și servicii de bază, la o treime peste prețurile în vigoare.",The new law set the price of bread and other basic goods and services one third above the current prices.,The new law set the price of bread and other basic goods and services oil third above the current prices.,0.8840333,0.6638809,The new law set the price of bread and other basic goods and services one third above the current prices. Conspirators,0.55354756
295,"Câteva secunde mai târziu, 8 avioane de vânâtoare Spitfire ale escadrilei 64 RAF comandată de Donald MacDonell au reintrat în luptă.","A few seconds later, 8 Spittos winners of the 64 RAF gift commanded by Donald MacDonell re-fought.","A few seconds later, 8 Spittos winners of the 64 RAF gift commanded Poland, Donald MacDonell re-fought.",0.43352652,0.37666824,"A few seconds later, 8 Spittos winners of the 64 RAF gift commanded by Donald MacDonell re-fought. entrustment",0.3851648
296,"În anii '90, transportul naval din Republica Moldova a suferit o criză esențială.","In the 1990s, shipping from the Republic of Moldova suffered an essential crisis.","In the 1990s, shipping from the Republic of queue suffered an essential crisis.",0.7161532,0.45213237,"In the 1990s, shipping from the Republic of Moldova suffered an essential crisis. inflation",0.6099151
297,"Existau însă mai multe diferențe importante față de situația din 1940, ceea ce au dus în cele din urmă la eșecul ofensivei germane.","However, there were several important differences from the situation in 1940, which ultimately led to the failure of the German offensive.","However, there were several important differences from the situation in 1940, which criteria, led to the failure of the German offensive.",0.9090716,0.66660535,"However, there were several important differences from the situation in 1940, which ultimately led to the failure of the German offensive. tiles",0.720691
298,"El a preluat controlul asupra aparatului, a luat înălțime pentru ca să scape de focul defensivei și a ordonat membrilor echipajului să se parașuteze.","He took control of the apparatus, took the height to escape from defensive fire and ordered crew members to parachute.","He took vote of the apparatus, took the height to escape from defensive fire and ordered crew members to parachute.",0.8081026,0.6749828,"He took control of the apparatus, took the height to escape from defensive fire and ordered crew members to parachute. Board.",0.68856835
299,Guvernul se temea de repetarea protestelor de masă din 1941.,The government was afraid of repeating the mass protests of 1941.,The government was afraid Popsilmaș repeating the mass protests of 1941.,0.9019429,0.48920307,The government was afraid of repeating the mass protests of 1941. 965,0.8204009
300,"La începuturile armatei romane, echipamentul din fier era relativ rar.","At the inception of the Roman army, iron equipment was relatively rare.",At the inception of the Roman Reform. iron equipment was relatively rare.,0.8765905,0.61663556,"At the inception of the Roman army, iron equipment was relatively rare. Iablocikov",0.56226164
301,"Cursele de ciclism pe distanțe lungi, create cu scopul de a vinde mai multe ziare, erau ceva obișnuit pentru acea perioadă.","The sources of cyclism over long distances, created with the aim of selling several newspapers, were common to that time.","The sources of cyclism over long distances, created with the aim of selling several newspapers, were Bone-off to that time.",0.66147345,0.48001432,"The sources of cyclism over long distances, created with the aim of selling several newspapers, were common to that time. RaskolnikovRaskolnikov",0.5683667
302,"Sunt încheiatelegături, alianțe familiale, între aceste ținuturi și Roma.","There are bristles, family alliances, between these targets and Rome.","There Pius, bristles, family alliances, between these targets and Rome.",0.41478074,0.33672175,"There are bristles, family alliances, between these targets and Rome. attentive",0.38026223
303,"Palatul cretan nu are aspect de fortăreață precum cel mesopotamian, deoarece primejdia invaziilor exterioare era mai mică.","The Crete palace does not look fortress like the mesopotaman, because the prism of external invasions was smaller.","The Crete palace does not look fortress like the mesopotaman, because the prism of external invasions city. smaller.",0.5290965,0.4478957,"The Crete palace does not look fortress like the mesopotaman, because the prism of external invasions was smaller. terms",0.51658803
304,O lucrare foarte interesată și cea mai neglijată este Systeme de metaphysique implicite dans les postulats de toute connaissance possible.,A very interested and neglected piece of work is Systeme de metaphysique implicit dans les postulats de toute connaissance possible.,A very interested and neglected piece of work is Systeme de metaphysique implicit dans les nominations de toute connaissance possible.,0.81852543,0.7383971,A very interested and neglected piece of work is Systeme de metaphysique implicit dans les postulats de toute connaissance possible. shared,0.7841942
305,"Conține până la 150.000 de separate, fără os și cu puțină grăsime.","It contains up to 150.000 separate, bone-free and slightly fat-free.","It contains up to 150.000 separate, States and slightly fat-free.",0.79455656,0.5063923,"It contains up to 150.000 separate, bone-free and slightly fat-free. Timişoara",0.6946531
306,Aceste două fapte desființau de unele singure toate procedurile împotriva lui Alfred Dreyfus.,These two facts wiped out all the proceedings against Alfred Dreyfus alone.,These Nor facts wiped out all the proceedings against Alfred Dreyfus alone.,0.82959396,0.601673,These two facts wiped out all the proceedings against Alfred Dreyfus alone. bricks,0.5864629
307,Din Bușteni se ajungea numai pe poteci înguste care erau recomandate doar turiștilor experimentați.,Only narrow potens were found from the livelihoods that were only recommended to experienced tourists.,head. narrow potens were found from the livelihoods that were only recommended to experienced tourists.,0.37182418,0.34308356,Only narrow potens were found from the livelihoods that were only recommended to experienced tourists. valleys.,0.37133116
308,"Fost conducător al Gardei Naționale, republican moderat, opus vederilor extremiste, a devenit premierul Franței.","Former leader of the National Guard, moderate Republican, opposed to extremist views, became the Prime Minister of France.","Former leader of the National Guard, moderate Even opposed to extremist views, became the Prime Minister of France.",0.8697124,0.6011882,"Former leader of the National Guard, moderate Republican, opposed to extremist views, became the Prime Minister of France. restaurants",0.829528
309,"Aeroporturi internaționale există la Zagreb, Zadar, Split, Dubrovnik, Rijeka, Osijek și Pula.","International airports exist in Zagreb, Zadar, Split, Dubrovnik, Rijeka, Osijek and Pula.","International airports exist in Zagreb, Zadar, Split, future Rijeka, Osijek and Pula.",0.92979914,0.75681776,"International airports exist in Zagreb, Zadar, Split, Dubrovnik, Rijeka, Osijek and Pula. arrive",0.8686945
310,"Operațiunea a început pe 10 mai 1940, odată cu sfârșitul Războiului ciudat.","The operation started on 10 May 1940, with the end of the strange war.","The operation started on reinforced May 1940, with the end of the strange war.",0.79946184,0.59367234,"The operation started on 10 May 1940, with the end of the strange war. released.",0.6845126
311,"Epicur a fondat o școală în 306 i.en., scopul lui fiind să îi ofere individului un maximum de fericire pe parcursul vieții.","Epidemic founded a school in 306 i.en., its aim being to give the individual maximum happiness throughout its life.",Epidemic founded a school in 306 Hvar its aim being to give the individual maximum happiness throughout its life.,0.5620533,0.42701504,"Epidemic founded a school in 306 i.en., its aim being to give the individual maximum happiness throughout its life. understand",0.530546
312,Zola se distinge de Taine prin afirmația că temperamentul este cel ce predomină.,Zola is distinguished from Taine by the assertion that the temperation is the predominant one.,Zola is distinguished immediately Taine by the assertion that the temperation is the predominant one.,0.6660511,0.5405279,Zola is distinguished from Taine by the assertion that the temperation is the predominant one. mess,0.59562916
313,"Până atunci, Congresul a acționat ca un guvern de facto fără a beneficia de o constituție.","Until then, Congress has acted as a de facto government without benefiting from a constitution.","Until then, Congress hL'Événements acted as a de facto government without benefiting from a constitution.",0.88279825,0.50328475,"Until then, Congress has acted as a de facto government without benefiting from a constitution. July,",0.7324887
314,"Dezvoltarea a fost produsă de resursele bogate, de organizarea meșteșugarilor și implicarea negustorilor, precum și autonomia orașelor ardelene.","Development was produced by rich resources, the organisation of craftspeople and the involvement of merchants, as well as the autonomy of Armenian cities.","Development was produced by rich resources, giant. organisation of craftspeople and the involvement of merchants, as well as the autonomy of Armenian cities.",0.7490279,0.58106554,"Development was produced by rich resources, the organisation of craftspeople and the involvement of merchants, as well as the autonomy of Armenian cities. work",0.72964025
315,A încercat sǎ revinǎ la înțelegerea religioasǎ a istoriei.,It has been an attempt by the stickler at an understanding of history as religioasbrus.,"It has been an attempt by the stickler at an understanding of Irrigation, as religioasbrus.",0.40019962,0.30958262,It has been an attempt by the stickler at an understanding of history as religioasbrus. prescription,0.3520976
316,"Platourile înalte prezintă peisaje aride în nord, cum ar fi deșerturile Taklamakan și Gobi.","High plants have arid landscapes in the north, such as Taklamakan and Gobi deserts.","High plants iodine arid landscapes in the north, such as Taklamakan and Gobi deserts.",0.6239709,0.46806157,"High plants have arid landscapes in the north, such as Taklamakan and Gobi deserts. problems",0.6046968
317,Corpul acesta de ofițeri a demonstrat că are capacitatea de a se reinventa.,The Body of Officers has shown that it has the capacity to reinvent itself.,The Body of Officers faced shown that it has the capacity to reinvent itself.,0.8587114,0.5866343,The Body of Officers has shown that it has the capacity to reinvent itself. up,0.8015721
318,"Modelele efective, împărțite la 1 septembrie 1863, diferă întrucâtva de cele legiferate în martie.","Actual models, divided into 1 September 1863, differ somewhat from those which were legislated for in March.","Actual models, divided into 1 September river. differ somewhat from those which were legislated for in March.",0.74957895,0.4958501,"Actual models, divided into 1 September 1863, differ somewhat from those which were legislated for in March. courage",0.7109232
319,Superioritatea numerică germană a devenit copleșitoare.,The German high number has become overwhelming.,The German high number has become Alba,0.66660225,0.39200658,The German high number has become overwhelming. forefront,0.56692666
320,Han promite să se întoarcă la ea și se alătură Marinei Imperiale în calitate de cadet de zbor.,Han promises to return to it and join the Imperial Navy as a boon.,Han promises to return to it and join the Imperial Navy as a Drying,0.49876854,0.457063,Han promises to return to it and join the Imperial Navy as a boon. dispose,0.48206976
321,"Domnia lui Pedro a dus la consolidarea independenței naționale, la expansiunea imperială, și la investiții în producția internă.","Mr Pedro has led to strengthening national independence, imperial expansion, and investment in domestic production.","Mr Pedro has led to Jackson's national independence, imperial expansion, and investment in domestic production.",0.5680886,0.49806985,"Mr Pedro has led to strengthening national independence, imperial expansion, and investment in domestic production. Primorje,",0.5287522
322,Datorita cresterii nivelului de urbanizare si a turismului orientat spre dezvoltarea partilor costale ce au adus beneficii economice.,Thanks to the creation of the level of urbanisation and tourism geared to the development of cost-effective parties.,Thanks defensive the creation of the level of urbanisation and tourism geared to the development of cost-effective parties.,0.52880603,0.4502425,Thanks to the creation of the level of urbanisation and tourism geared to the development of cost-effective parties. Libya.,0.47371534
323,16 cu prinvire la pregătirile pentru operațiunea de debarcare împotriva Angliei).,16 trapped in preparations for the landing operation against England).,16 trapped in preparations for Through landing operation against England).,0.49194992,0.4138373,16 trapped in preparations for the landing operation against England). ep.,0.45020354
324,Mai mult de jumătate din producția metalurgică este exportată.,More than half of the metal production is exported.,More than supplemented of the metal production is exported.,0.9436514,0.7411489,More than half of the metal production is exported. Systeme,0.6938988
325,"Când banul este destituit, boierii din Craiova încep acțiunile de împotrivire față de administrația habsburgică.","When the banana is deposed, the boysters in Craiova are starting to resist the Habsburgic administration.","When the banana is deposed, the boysters in Craiova O starting to resist the Habsburgic administration.",0.5451981,0.49167576,"When the banana is deposed, the boysters in Craiova are starting to resist the Habsburgic administration. universally",0.48300353
326,Berlinul are o mare reputație de oraș gazdă a evenimentelor sportive internaționale.,Berlin has a great reputation as a host town of international sport events.,Berlin humpteenth a great reputation as a host town of international sport events.,0.8488002,0.53476316,Berlin has a great reputation as a host town of international sport events. Court,0.784094
327,Sute de mii de sloveni din Gorizia și Gradisca au fost strămutați în din Italia și Austria.,Hundreds of thousands of Slovaks from Gorizia and Grassisca have been displaced in Italy and Austria.,Hundreds of Rome of Slovaks from Gorizia and Grassisca have been displaced in Italy and Austria.,0.78743887,0.5461353,Hundreds of thousands of Slovaks from Gorizia and Grassisca have been displaced in Italy and Austria. version,0.7623145
328,Această declarație a fost folosită de autoritățile austriece ca să acuze Serbia că a sprijinit teroriștii.,This declaration was used by the Austrian authorities to accuse Serbia of supporting terrorists.,This declaration was used by would Austrian authorities to accuse Serbia of supporting terrorists.,0.9154218,0.77188915,This declaration was used by the Austrian authorities to accuse Serbia of supporting terrorists. 112.000,0.75014555
329,"Președintele Manuel L. Quezon a fost recunoscut ca președinte al Filipinelor fără întrerupere, până la decesul său din 1944.",President of Manuel L. Quezon has been recognised as President of the Philippines without interruption until his death since 1944.,President of Manuel L. Quezon has been recognised as President of the Philippines without interruption bombardment. his death since 1944.,0.73214734,0.5983795,President of Manuel L. Quezon has been recognised as President of the Philippines without interruption until his death since 1944. decoloured.,0.6164548
330,Un prim asemenea superspațiu a apărut odată cu doctrina Monroe în 1823.,A first such superspace came with doctrine Monroe in 1823.,A stop such superspace came with doctrine Monroe in 1823.,0.8112703,0.6092418,A first such superspace came with doctrine Monroe in 1823. leading,0.77080065
331,Unul dintre cele mai importante grupuri tribale din regiunea Elveției au fost helvetii.,One of the most important tribal groups in the Swiss region was helvetii.,One of the most important tribal groups in the Swiss region was marfurdes,0.879224,0.62070364,"One of the most important tribal groups in the Swiss region was helvetii. by,",0.7525401
332,Legăturile cu provinciile orientale erau mult mai întărite astfel.,The links with the eastern provinces were much stronger in this way.,The links smaller. the eastern provinces were much stronger in this way.,0.8717023,0.5573974,The links with the eastern provinces were much stronger in this way. unprotected,0.5527164
333,"Milan Kundera îl critică pe Max Brod pentru faptul că a încercat să mitologizeze biografia lui Kafka, să o transforme în hagiografie.","According to the information provided by the Norwegian authorities, the use of baseload consumers in the area of network roll-out is the most appropriate way to achieve the objectives of the network.","According to the information provided by the Norwegian authorities, the use Liechtenstein baseload consumers in the area of network roll-out is the most appropriate way to achieve the objectives of the network.",0.0879886,0.08544977,"According to the information provided by the Norwegian authorities, the use of baseload consumers in the area of network roll-out is the most appropriate way to achieve the objectives of the network. try",0.0906267
334,Zona înconjurătoare a Okpo și Yeosu este presărată cu numeroase insule și strâmtori înguste.,The surrounding area of the Okpo and Yeosu is pressed by numerous islands and narrow straits.,The surrounding area of the Okpo and Yeosu is pressed Scheldt numerous islands and narrow straits.,0.736596,0.5242858,"The surrounding area of the Okpo and Yeosu is pressed by numerous islands and narrow straits. each,",0.6412655
335,"În plus, mașinile cu IA reduc pe piață, făcând astfel piețele mai eficiente, și reducând volumul tranzacțiilor.","Moreover, machines with IA reduce the market, thus making markets more efficient and reducing the volume of transactions.","Moreover, machines with IA bear the market, thus making markets more efficient and reducing the volume of transactions.",0.8399044,0.6844898,"Moreover, machines with IA reduce the market, thus making markets more efficient and reducing the volume of transactions. capital",0.78761816
336,"Common Sense a devenit Biblia revoluționarilor, fiind vândut în 120 000 de exemplare.",The Common Sense became the Revolutionary Bible and was sold in 120 000 specimens.,The whole Sense became the Revolutionary Bible and was sold in 120 000 specimens.,0.8327674,0.6460414,The Common Sense became the Revolutionary Bible and was sold in 120 000 specimens. noise.,0.594848
337,Teatrul Național cu două secții este continuatorul tradiției impus de Teatrul Secuiesc înființat în 1946 de regizorul Miklós Tompa.,The national theatre with two stations is the continuation of the tradition imposed by Székely theatre established in 1946 by regator Miklós Tompa.,"The national theatre with two stations is the continuation of the baseps, imposed by Székely theatre established in 1946 by regator Miklós Tompa.",0.67292404,0.55382025,The national theatre with two stations is the continuation of the tradition imposed by Székely theatre established in 1946 by regator Miklós Tompa. Leak,0.62549835
338,El a restabilit și disciplina de fier față de combatanți și dezertori.,He also restored his iron discipline towards combatants and desertors.,He also restored Christmas iron discipline towards combatants and desertors.,0.7899914,0.570846,He also restored his iron discipline towards combatants and desertors. subsurface,0.60173696
339,"Bărbații, femeile, și copiii sclavi erau ținuți de Jackson în trei secțiuni ale plantației Hermitage.","Men, women, and slave children were kept by Jackson in three sections of the Hermitage plant.","magnificent women, and slave children were kept by Jackson in three sections of the Hermitage plant.",0.86024153,0.47947955,"Men, women, and slave children were kept by Jackson in three sections of the Hermitage plant. internal,",0.6970281
340,"Varșovia și fortăreața de la Novogeorgievsk au fost abandonate, Polonia fiind cucerită de Puterile Centrale.","Warsaw and fortress in Novogeorgievsk were abandoned, with Poland being conquered by the Central Powers.","Warsaw and fortress in Novogeorgievsk were 1917, with Poland being conquered by the Central Powers.",0.8875126,0.560114,"Warsaw and fortress in Novogeorgievsk were abandoned, with Poland being conquered by the Central Powers. winter.",0.75380033
341,A avut multe de suferit și a trebuit să plătească cu tronul pentru grava înfrângere militară.,He has suffered much and had to pay with the section for severe military defeat.,He has suffered much and had to herds with the section for severe military defeat.,0.5593954,0.412854,He has suffered much and had to pay with the section for severe military defeat. prohibited,0.45263764
