,original,translation
575,"Schmitt consideră că,la nivel mondial, trecerea de la partizanul autohton la partizanul agresiv începe din punct de vedere istoric cu Lenin.",Schmitt considers that the transition from indigenous partisan to aggressive partisan worldwide starts historically with Lenin.
576,"Neavând , ochiul se bazează pe pentru a se menține umed.","By not doing so, the eye is based on maintaining wet."
577,"Nu intervin nici atunci când atenienii, după un asediu de 2 ani, distrug cetatea Egina în 476.","Nor do I intervene when attention, after a two-year siege, destroys the name Egypt in 476."
578,Munții din zonele înalte ale Anatoliei aveau bogate depozite de cupru si staniu.,Mountains in high areas of Anatoli had rich deposits of copper and tin.
579,Numele rzeczpospolita însemnând lucru public este traducerea directă a vorbei latinești res publica.,The name rzeczpospolita means public work is the direct translation of the Roman speaking res public.
580,De asemenea factorul decizional este pus unei presiuni legate de timpul de răspuns.,The decision maker shall also be put under response time pressure.
581,"Majoritatea rutierilor turiști a dispărut, dar o parte din ei a fost absorbită în aceste echipe regionale.","Most tourists have disappeared, but some of them have been absorbed into these regional teams."
582,"Pozitivismul, știința și filozofia pozitivă nu mai caută explicarea cauzelor obscure ale fenomenelor, ci se mulțumește cu studiul datelor experienței.","Positivism, science and positive philosophy are no longer seeking to explain the obscure causes of phenomena, but are satisfied with the study of experience data."
583,"Grupurile de Ju 87 au pierdut rapid altitudine, de la 13.000 ft până la 2.275 ft, înălțime de la care au lansat bombele.","Ju 87 groups rapidly lost altitude, from 13.000 ft to 2.275 ft, the height from which the bombs were launched."
584,"Susținea că va aduce 80 milioane de livre, mai puțin însă decât deficitul prevăzut pentru 1786.","It claimed that it would bring 80 million deliveries, but less than the planned deficit of 1786."
585,Încă din cele mai vechi timpuri arta egipteană a fost una dintre cele mai originale.,Since the oldest time Egyptian art has been one of the most original.
586,"Cu această ocazie familia Dostoievski achiziționează un mic domeniu în Darovoie, un oraș la aproape 150 km de Moscova, unde vor locui în timpul verii.","On this occasion, the family Dostoievski acquires a small area in Darovoie, a city almost 150 km from Moscow, where they will live during the summer."
587,O incintă sacră a fost pus deoparte pentru închinare lui la Milet în provincia Asia și alte două temple au fost construite de el în Roma.,One sacred enclosure was set aside for Milet's closure in the province of Asia and two other temple points were built by him in Rome.
588,"De obicei, manevra aleasă este chiar cea pe care unul sau ambii wrestleri o folosesc ca finisher move, caz în care meciul se numește ""Finisher Match"".",The Commission takes note of the fact that the BAFA's own decision is based on the fact that the BAFA has decided to grant the BAFA an exemption.
589,"Germanii montaseră o rețea de radare Freyar pe țărmurile mărilor, rețea care era sprijinită și numeroși observatori.","Montass had a Freyar radar network on the shores of the seas, which was supported by numerous observers."
590,"Alte date despre ea nu am găsit, de asemenea nici despre etapele ei de reconstrucție.",Other data about it have not been found either about its reconstruction stages.
591,"Noul stat era lipsit de legitimitate și nu trebuia recunoscut, iar trupele japoneze trebuiau retrase imediat.","The new state was devoid of legitimacy and had not to be recognised, and Japanese troops had to be withdrawn immediately."
592,"Labori îl sfătuiește pe Zola să părăsească Franța și să stea în Anglia până la sfârșitul procesului, iar Zola se supune.",Labori advises Zola to leave France and stay in England until the end of the trial and Zola is subjected.
593,Alte părți ale Sloveniei de astăzi au fost din nou dominate de avari înainte de victoria lui Carol cel Mare asupra lor în 803.,Other parts of Slovenia today were once again dominated by fortune before Carol Mare's victory over them in 803.
594,"Fiecare lună era împărțită în trei perioade de 10 zile, fiecare a zecea zi fiind zi de odihnă.",Each month was divided into three 10-day periods with each tenth day being a rest day.
595,"Economia Berlinului este dominată de sfera serviciilor, iar în jur de 80% din companii fac business în servicii.",The Berlin economy is dominated by the scope of services and around 80% of companies do business in services.
596,Pot fi identificate diferite tipuri de cumpărători.,Different types of buyers can be identified.
597,"Aliații occidentali nu acordau opozanților germani niciun fel de ajutor, nici măcar nu se ofereau să le recunoască activitatea.","Western allies did not give any help to German opponents, they did not even offer to recognise their work."
598,Construcția căii ferate transcontinentale a adus o creștere economică.,The construction of the trans-continental railway has brought economic growth.
599,Acest tip de meci este considerat o specialitate a federației,This type of match is considered a speciality of the federation
600,Ambele posturi pot fi ascultate live de pe internet.,Both stations can be heard live on the Internet.
601,"Compozitori notabili au fost , , , , și discipolul său , , și .","The notable compounds were also its discigar, and."
602,"Fiind infrânt în bătălia de la Termopile din 191 î.Hr., Antiochos se retrage in Asia.","As a criminal offence in the fight against Termoms of 191 î.Hr., Antiochos withdraws in Asia."
603,Numai în epoca paleogenului mediu marea a ocupat acest teritoriu precum și partea centrală a țării.,Only in the middle paleogenous era was the sea occupied this territory as well as the central part of the country.
604,"Din Somalia Britanică, forțele britanice și ale Commonwealthului au înaintat spre estul Etiopiei.",From Somalia British and Commonwealthy forces have submitted to the east of Ethiopia.
605,Una dintre cele mai hotărâte și mai neașteptate încercări de eliminare a lui Hitler a apărut în noiembrie 1939.,One of the most determined and unexpected attempts at eliminating Hitler appeared in November 1939.
606,Aceasta reprezenta mai puțin de jumătate din timpul alocat pregătirii cadeților în 1942.,This represented less than half of the time spent preparing horses in 1942.
607,"Printre reprezentanții acestui gen se numără , , Lublanski Psi, Čao Pičke, Via Ofenziva, Tožibabe și Otroci Socializma.","This includes, among others, Lublanski Psi, Čao Pičke, Via Ofenziva, Tožibabe and Otroci Socializma."
608,Nepopularitatea crescută a lui Gratian a provocat probleme.,Gratian's increased non-popularity has caused problems.
609,"Cel ce are după fire pe Duhul, dăruiește, ca Dumnezeu,","He who gets on Duhul, dares, like God,"
610,"Noile echipamente au îmbunătățit coordonarea tragerii, folosind telemetre laser, informații date de GPS și comunicațiile digitale.","New equipment has improved drawdown coordination, using laser telemetry, GPS data and digital communications."
611,"Tratatul îi obliga pe indienii Muscogee, inclusiv pe cei care nu se alăturaseră Bețelor Roșii, să predea de teren Statelor Unite.","The Treaty forced Indians Muscogee, including those who did not join the Red Beetles, to hand over land to the United States."
612,"250pxrightthumb[[Teatrul Naţional Vasile Alecsandri din BălţiTeatrul Național ""Vasile Alecsandri""","250pxrightthbus (National Theatre of Alecsandri in the National Theatre ""Vasile Alecsandri"""
613,"Pictura bisericii a fost refăcută de către Sofian Boghiu, Vasile Caraman și Gheorghe Ciobanu.","The foot of the church was reproduced by Sofian Boghiu, Vasile Caraman and Gheorghe Ciobanu."
614,"În deceniile care au urmat, Imperiul Otoman nu a fost numai o forță de ocupație, ci a și devenit un instrument în politica europeană.","In the decades to come, the Ottoman Empire was not only an occupying force, but also an instrument in European politics."
615,"cercei de aur, cataramă de argint, clopoțel de aramă, monedă de aramă de la Marc","gold circle, silver buckwheat, aramese bell, Marc tree currency"
616,Marea majoritate a catolicilor sloveni aparțin ritului latin.,The vast majority of Slovak Catholics belong to the Latin rhythm.
617,Cele 54 de foste prefecturi și administrații la nivel de prefectură au fost păstrate în mare parte ca subunități ale regiunilor.,The 54 former prefectures and administrations at prefecture level have largely been maintained as sub-units of the regions.
618,Teama de noi atacuri chimice pe scară largă determinase deja o treime din populație să părăsească marile centre urbane.,The fear of new large-scale chemical attacks had already led a third of the population to leave large urban centres.
619,A susținut că etica protestantă a influențat apariția capitalismului.,He claimed that Protestant ethics had an influence on the emergence of capitalism.
620,Schmitt nu se referea însă exclusiv la conflictele armate și teoriile sale nu preconizeazâ o inevitabilitate a războaielor armate.,"I did not, however, refer solely to armed conflicts, and its theories did not foresee any inevitability of armed wars."
621,"Practic, în momentul lansării celor două rachete, aeronava iraniană se găsea în spațiul aerian iranian, se deplasa cu o viteză de cca.","Basically, when the two rockets were launched, the Iranian aircraft was in Iranian airspace, moving at a rate of approximately ca."
622,Infanterieregiment a trebuit să fie retras după ce a fost supus unui atac puternic de artilerie.,Infantery in its entirety had to be withdrawn after being subjected to a heavy artillery attack.
623,"Dacă vreunul din cuscri este nemulțumit de zestrea promisă, mai cere.","If any of the porbeagle is dissatisfied with the zeal it promised, it is still asking for."
624,stangaminiatura Pilda elefantului și călugărilor orbi; ilustrată de .,the elephant's pilot's stangaminary and previous monks; illustrated by.
625,"ca bursier, Liceul Militar din Craiova, fără să fie însă atras de viața cazonă.","as the stock exchange, the Craiova military licence, but not attracted by casino life."
626,"Rastislav era, de asemenea, preocupat de securitatea și administrarea statului său.",Rastislav was also concerned about the security and administration of its State.
627,Imboldul pentru această schimbare a fost domnia lui David I și .,"The impetus for this change was David I, and."
628,"Malta, ca membru al Uniunii Europene, are relații bilaterale cu cele mai multe țări din Europa.","Malta, as a member of the European Union, has bilateral relations with most countries in Europe."
629,"La scurt timp după ziua victoriei în Europa, Partidul Laburist a câștigat alegerile în Marea Britanie.","Shortly after the day of victory in Europe, the Labour Party won the elections in Britain."
630,"Bucătăria grecească este una cu specific mediteranean, și în cadrul ei, o tradiție culinară foarte reprezentativă este cea cretană.","The Greek ripe is a specific Mediterranean, and within it, a culinary tradition that is very representative of the Christian one."
631,"Pe data de 15 August 1918, Generalul Haig a stopat acțiunea și a început să dezvolte planurile pentru o ofensivă nouă în Albert.","On 15 August 1918, General Haig stopped acting and started to develop plans for a new offensive in Albert."
632,"În Extremul Orient, pictarea peisajelor țării este curentul principal al artei picturale.","In the Extreme East, the dropping of the country's landscapes is the main current of the pictorial arts."
633,"Controlorii generali nu au mai putut crește impozitele în timp de pace, pentru că Necker a făcut față unui război costisitor.","General controllers could no longer increase their taxes in peace time, because Necker faced costly war."
634,Republica a treia cunoscute crize politice până la Primul Război Mondial.,The third-known political crisis up to the First World War.
635,North nu a vrut să recunoască pericolul unui război cu Franța.,The North did not want to recognise the danger of a war with France.
636,"O altă cauză a războiului a fost dezvoltarea industriei de armament, care a dus la formarea de alianțe cu substrat militarist.","Another cause of war was the development of the arms industry, which led to the formation of alliances with the militaristic substrate."
637,"Ultimul posesor al actului a fost Vladislav Silviu, decedat în anul 1986, nu se știe cum și din ce motive a predat acest document.","The last holder of the act was Vladislav Silvii, deceased in 1986, is not known how and for what reason he delivered this document."
638,"Conform ultimului comunicat al Institutului Național de Statistică, orașul avea la data de 1 ianuarie 2009 o populație de 145 151 locuitori.","According to the latest communication from the National Statistical Institute, the city had on 1 January 2009 a population of 145 151 inhabitants."
639,"Bombardierele avariate, rătăcite și rămase în urma formațiunilor principale puteau deveni o țintă ușoară, dacă erau găsite de piloții RAF.","Damaged, strayed and left-on barrels as a result of major formations could become an easy target if found by RAF pilots."
640,"Mircea urcă pe tron după moartea fratelui său Dan, petrecută la 23 septembrie 1386.","Mircea climates on the tron after the death of his brother Dan, who occurred on 23 September 1386."
641,A fost numită și ''școala metodică'' sau ''școala pozitivă''.,"Technology according to the General Technology Note for the ""development,"" ""production"" or ""use"" of goods specified in 5A101."
642,"În anul 1943, unele din ele au fost așezate pe paraclis și altele au fost donate altor capele.","In 1943, some of them were placed on the paraclis and others were donated to other goats."
643,Divizia I a bulgarilor a lansat o serie de atacuri eșuate la Pirot.,Division I of Bulgarians has launched a number of failed attacks in Pirot.
644,"Și în ultimul rând, a fost pentru prima oară în timpul războiului când un cuirasat aflat în marș a fost scufundat de un atac aerian.","And lastly, it was the first time during the war when a whistle marched was immersed by an air attack."
645,Satul se numea Stănești sau Cașen de la numele lui Stan Cașen.,The village was called the Stan Cashen or the Kashen on behalf of Stan Cashen.
646,"Nu spiritul unei vremi, ci un travaliu de milenii întregi a pregătit un asemenea rezultat în sufletului omului».","Not the spirit of a time, but a traveller of entire millennia has prepared such an outcome in the soul of human beings."
647,Guvernul sârb în exil pe insula Corfu a semnat declarația pentru formarea Iugoslaviei.,The Serbian Government in exile on the island of Corfu signed the declaration for the formation of Yugoslavia.
648,"Cel mai mare debit al râurilor se înregistrează primăvara, când se topesc zăpezile.","The highest flow rate of rivers is recorded in spring, when snow melts."
649,Irlanda de Nord mai este menționată și ca „provincie”.,North Ireland is also mentioned as an air union.
650,Membrii celor două familii erau cinstiți și erau ajutați de săteni cu obiecte de îmbrăcăminte sau produse alimentare.,The members of the two families were honest and helped by enough clothes or food.
651,"A urmat o altă lupta pentru Transilvania, iar habsburgii erau dispuși să plătească tribut anual pentru Transilvania.","Another battle followed for Transylvania, and habsburgies were willing to pay tribute annually for Transylvania."
652,Irakienii au instigat la revoltă și pe arabii din Khuzestan.,Iraq has instigated riots and the Arabs of Khuzestan.
653,"În ianuarie 2001 Grecia a adoptat moneda unică Euro, înlocuind drahma grecească la un curs de schimb de 340,75 drahme pentru un euro.","In January 2001 Greece adopted the single euro, replacing the Greek drachma at an exchange rate of 340,75 drachma for a euro."
654,"Cursul inflației a înlesnit speculațiile și marile afaceri, lovind în masă de fermieri, lucrători, mici comercianți și meșteșugari.","The course of inflation has made speculation and big business easier, striking at farmers, workers, small traders and craftspeople."
655,"Stăpânirea maritimă aparținea Romei, a cărei flota militară domină Mediterana.","The master of the sea belonged to Roma, whose military fleet dominates the Mediterranean."
656,Alte două avioane de vânătoare au fost distruse în timpul prăbușirii hangarelor.,Two other hunting aircraft were destroyed during the collapse of the hangars.
657,Aceste camere erau construcții supraterane și erau practic neprotejate împotriva bombardamentelor.,These chambers were overarching buildings and were virtually unprotected from bombing.
658,"Armata Roșie a capturat și Insula Sahalin, și Insulele Kurile.","The Red Army also caught Sahalin Island, and Kurile Islands."
659,"Podeaua camerei de gazare era curățată, iar zidurile spoite.",The floor of the gas chamber was cleaned and spoiled walls.
660,"Influențat de literatura germană, a tradus opera lui Goethe, a scris Istoria Revoluției Franceze, punând accent pe eroi și pe idealuri.","Influenated by German literature, translated the work of Goethe, wrote the history of the French Revolution, focusing on heroes and ideals."
661,"În spațiul european, roata începe să fie folosită prin 4.000 î.Hr.","In the European area, the wheel starts to be used on 4.000 tr. Hr."
662,"De la crearea Statului Liber Irlandez în 1922, Regatul Unit cuprinde Marea Britanie și Irlanda de Nord).","Since the creation of the Irish Free State in 1922, the United Kingdom has encompassed Great Britain and Northern Ireland)."
663,Organizarea Sturmabteilung Koch a fost finalizată în noiembrie 1939.,The organisation of Sturmabteilung Koch was finalised in November 1939.
664,În 2012 erau aproximativ 470 de milioane de biciclete în China.,In 2012 there were around 470 million bicycles in China.
665,"Garnizoana otomană se retrage în sudul Dunării, iar după 164 de ani cetatea intră din nou sub stăpânirea europenilor.","Ottoman garnisoana is withdrawing into the south of the Danube and, after 164 years, it is once again under the control of Europeans."
666,"În vestul Atenei, dominanța navală a Cartaginei era incontestabilă, însă armata sa de uscat era foarte incompletă.","In western Athens, the dominance of Carthage was undeniable, but its land army was very incomplete."
667,Malul nordic este puțin adânc și nisipos cu o plajă mare.,The northern river is a shallow sandy with a large beach.
668,"Primul Război Mondial a fost de uzură, 80% din pierderi fiind în afara marilor bătălii.","The first World War was used, with 80% of the losses outside the big battle."
669,Acesta avea înscrisă pe flamură deviza „VIRTUTEA ROMANĂ REÎNVIATĂ”.,"This is because, on the basis of the criteria laid down in Article 6 (1) of Regulation (EU) No 965 / 2012, it is estimated that:"
670,Portugalia a continuat să fie guvernată de o până la alegerile legislative din 1976.,Portugal continued to be governed by it until the 1976 legislative elections.
671,"Serbia este membră a ONU, Consiliului Europei, OSCE, PpP, OCEMN, CEFTA și în curs de aderare la OMC.","Serbia is a member of the UN, the Council of Europe, the OSCE, the PpP, the NMAC, CEFTA and acceding to the WTO."
672,În noaptea de 27 spre 28 noiembrie a fost dus de polițiști la Închisoarea Văcărești.,"On the night of 27 to 28 November, police officers were taken to the Vão prison."
673,Abia din secolul XV erau aleși mitropoliții dintre autohtoni.,Only since the 15th century were elected to indigenous mitropoles.
674,"Ungaria a semnat un armistițiu separat, în urma prăbușirii monarhiei habsburgice.",Hungary signed a separate armistice following the collapse of the Habsburgic monarchy.
675,miniatura Elefantul de povară ca mijloc de transport,Eurasian elephant ministers as a means of transport
676,"Pentru că senzația glorioasă de a fi „la înălțime” devine dependență, respectivul călătorește cu trenul doar în compartimentul de bagaje.","This is because, at the same time, there is a serious threat to the health of citizens who are able to pass through one side of the air."
677,"thumbupright200pxSoldați bulgari luați prizonieri după bătălia de la Skra di Legen, Macedonia","ghtght200pxSolgiven Bulgarian cousin take prisoners after the battle in Skra di Legen, Macedonia"
678,"Printre acestea se numără 8 parcuri naționale, două rezervații stricte și 10 parcuri ale naturii.","These include 8 national parks, two strict reservations and 10 nature parks."
679,Următoarea campanie planificată de amploare a fost eliberarea Malayei.,The next planned large campaign was Malaysia's release.
680,"Sultanul în vârstă de 71 de ani urma să conducă personal marea oaste, însoțit de marele vizir Sokollu Mehmet Pașa.","The 71-year-old husbandry was to run the big sheep personally, accompanied by the great visit to Sokollu Mehmet Pso."
681,Olandezii au încercat în mai multe ocazii să își asume rolul de intermediar unor eventuale tratative de pace dintre aliații occidentali și Germania.,The Dutch have tried on several occasions to take the lead in possible peace talks between Western allies and Germany.
682,Gestapoul a strâns lațul în jurul cercului de conspiratori până în toamna aceluiași an.,The guest collected the cowardly around the conspirators' circle until the autumn of the same year.
683,Demiterea lui Bock nu a slăbit poziția lui Tresckow.,Bock's release did not weaken Tresckow's position.
684,Scutul este timbrat de o coroana murală din argint cu șapte turnuri crenelate care a fost folosit încă în perioada interbelică.,The ladder is stunned by a rural crown of silver with seven creamy towers that has still been used in the interwar period.
685,Mitingurile erau fapt cotidian și vorbitorii se succedau fără sfârșit.,Mitingers were daily and speakers followed up with no end.
686,Piețele de desfacere datează din cele mai vechi timpuri.,The outlets date back to the oldest times.
687,"o nouă ofensivă samnită provoacă grave pierderi romanilor, în bătălia de la Lautullae.",a new samnite offensive causes serious losses to Romans in the Lautullae battle.
688,slujbele religioase care au loc regulat în Biserica „Sf.,Bill that takes place regularly in the Church's church.
689,"În ultimul trimestru din 2008, economia Regatului Unit a intrat oficial în recesiune pentru prima oară după 1991.","In the last quarter of 2008, the UK economy officially entered into recession for the first time after 1991."
690,"Odobescu a realizat și un plan al castrului, publicat în volumul al treilea al monografiei sale, Le Trésor de Pétrossa.","A plan of the cucumber, published in the third volume of its monograph, Le Trésor de Pétrossa, was also produced by Odobescu."
691,"Prințul Henric Navigatorul, fiul regelui Joao I, a devenit sponsorul principal și beneficiar al acestui demers.","Prince Henric Navigation, the son of King Joao I, became the main sponsor and beneficiary of this."
692,"În 2012, un studiu efectuat de Universitatea Catolică a arătat că 79,5% din portughezi se consideră catolici, și 18% .","In 2012, a study by the Catholic University showed that 79,5% of Portuguese people regard themselves as Catholics, and 18%."
693,Creșterea ritmului înaintării germane a reflectat capacității de luptă a francezilor.,The increase in the pace of the German submission reflected the French struggle capacity.
694,"Cum dezertarea era aspru pedepsită, se recurgeau la alte metode de ieșire din luptă, una dintre acestea fiind rănirea.","As desertification was severely punished, other ways out of the struggle were used, one of which was injury."
695,Au fost găsite mai multe barje care să fie folosite în acest scop.,Several barges have been found to be used for this purpose.
696,"Roma își lǎrgește sfera de influență spre centrul Peninsulei Italice și cucerește orașul etrusc Veii, punând capǎt supremației etrusce.","They work closely together to work closely together and work together together to achieve the objectives of this work, and work closely together to achieve the objectives of this work."
697,"Nu se seamănă holde în ,,ivit”, respectiv perioada fără lună pe cer, deoarece holda nu va lega rod ci va înflori de mai multe ori.","It does not resemble cholde in, it gets out, which is the pointless period, because cholda will not tie up rod but flourish several times."
698,"Planul lui Halder a fost comparat deseori cu Planul Schlieffen, care ar fi trebuit să îi ducă pe germani la victorie în prima conflagrație mondială .","Halder's plan was often compared with the Schlieffen Plan, which should have led Germans to victory in the first conflagration of the world."
699,"La 29 aprilie, casa și fabrica unui manufacturier de tapet, au fost incendiate pentru că se zvonea că avea să reducă salariile.","On 29 April, the house and the factory of a wallpaper manufacturing were burnt because it was rumoured to cut wages."
700,"În semn de bucurie și recunoștință, papa a cerut că fiecare biserica creștină, că de acum înainte, să se tragă clopotele la prânz, zilnic.","As a sign of joy and gratitude, the papal asked that every Christian church, that from now on, clopotes be fired at midday."
701,Grădinile sătenilor erau roditoare și pline de tot soiul de legume și verdețuri folosite la mâncăruri.,The grains of the seams were roditant and full of all the varieties of vegetables and greenhouses used in food.
702,"Alți regizori importanți au fost Charlie Chaplin, , Carol Reed, , Christopher Nolan, și Ridley Scott.","Other important directors were Charlie Chaplin, Carol Reed, Christopher Nolan, and Ridley Scott."
703,"Familiile pot să se asocieze și să se unească unele cu altele, formând ceea ce se numește grup de legătură.",Families may associate and unite with each other forming what is called a liaison group.
704,"Învățământul începe fie la grădinițe, fie în școli elementare.",Education shall start either at nursery schools or at elementary schools.
705,"Ca urmare, mulți nu au spus nimic, ceea ce a amplificat efectele marii traume suferite.""","As a result, many have said nothing, which has exacerbated the effects of great trauma suffered. '"
706,Totul pare să meargă bine până când Trix îl trezesc pe Valtor din ghețarul în care acesta era închis.,Everything seems to go well until Trix awards the Vother in the ice in which he was shut down.
707,"a fost cel mai mare lagăr de concentrare, victimele princiaple fiind evreii, romii și deținuții politici sârbi.",This is because there is only one - or even one - of the sales that is not comparable to the sales that are sold for domestic sales.
708,"În jurul orei șase, cea mai mare parte a colecțiilor au fost puse la adăpost în Piața Universității, în jurul Statuii lui Mihai Viteazul.","around six hour, most of the collections were sheltered in the University Market around Mihai Viteaself's Statuii."
709,Ei preferau să identifice vizual țintele după ce operatorii de la sol îi ghidau spre bombardiere.,They preferred to visually identify targets after ground operators steered them into shelling.
710,În mijloc este așezată stema Republicii Socialiste România”.,The focus is on the issue of the Socialist Republic of Romania's own.
711,"A fost o fire îndrăzneață și muncitoare, similar negustorilor brașoveni din rândul cărora a făcut parte.","It was bold and hard-working yarn, similar to the brave traders of whom it was part."
712,A poruncit înlăturarea altarului Victoriei din Senat și multor alte monumente considerate “păgâne”.,The second subparagraph of paragraph 1 (1) is replaced by the following:
713,Evangheliile Noului Testament au fost scrise in limba greaca.,The villages of New Testing were written in Greek.
714,"În 1918, țara era secătuită, iar populația, ajunsă în pragul sărăciei de pe urma unui îndelungat război de uzură, dorea pacea.","In 1918, the country was dry and the population, which had reached the poverty line following a long war of wear, wanted peace."
715,"Sunt mult mai mulți actori .În prima etapă avem declanșarea crizei, un gest, un discurs, etc.","There are many more players. In the first stage, we have triggered the crisis, a gesture, a speech, etc."
716,"După ce au fost înfrânți, japonezii au părăsit navele și au fugit pe uscat.","After being defeated, the Japanese left the ships and fleeing the land."
717,Primul Război Mondial a izbucnit după o perioada de pace de 50 de ani în vestul Europei.,The First World War broke out after a 50-year peace period in western Europe.
718,"Dischetele de densitate mare folosesc un compus cu fier și cobalt,","High-density membranes utilising iron and cobalt as a compound,"
719,"A fost ales în locul lui Émile Loubet, un progres pentru cauza revizuirii, întrucât fostul președinte îi fusese un feroce adversar.","He was elected to Emile Loubet, a step forward in the cause of the review, as the former President had been a fervent adversary."
720,Aproximativ 8% din întreaga populație slovenă a decedat în timpul celui de al Doilea Război Mondial.,Around 8% of the entire Slovenian population died during World War II.
721,"Fațada casei construită la începutul secolului XX, în formă de U, a păstrat cea mai multă originalitate dintre clădirile din centrul comunei.","The house damage built at the beginning of the 20th century, which was U-shaped, kept the most original of the municipality's centre buildings."
722,"Cel mai probabil, Dostoievski încearcă să tatoneze terenul cu niște lucrări literare care nu stârnesc violența autorităților.",Dostoievski is most likely trying to tatong the land with some literary works that do not arouse the violence of the authorities.
723,slujit în mod neîncetat ca salariat și pensionar peste 55 de ani.,continuously employed as an employee and retired over the age of 55.
724,"Cu cât situația este mai aproape de situația de criză cu atât mai mult discuția se reduce, e un tip de acțiune decizională care consumă timp.","As the situation is closer to the crisis situation, the more the discussion reduces, it is a kind of time-consuming decision-making action."
725,"Colonizarea rurală putea fi din inițiativa individuală a țăranilor, fie din inițiativă politică.","Rural colonisation could be from the individual initiative of the shores, or on a political initiative."
726,"da Dumnezeu, ca să le fie anume DOBRIDORUL lui Minea și DOBRIDORUL lui Iepure, toate","God, to be that of Minea's DOBRIDORE and Jewish's DOBRIDOR, all of them"
727,"Singur, a zugrăvit Biserica Sfântul Nicolae din Brașov, Biserica din Negoiești, Biserica Madona Dudu și Biserica Sfântul Ilie din Craiova.","It alone painted the Church of Saint Nicolae in Braşov, the Church in Negotians, the Madona Dudu Church and the Church of Saint Jan in Craiova."
728,"Siretul, care izvorăște din Carpații Păduroși ai Ucrainei, este cel mai mare râu interior al țării care străbate Moldova de la nord la Sud.","The Sider, which flows from the Carpathians of Ukraine, is the greatest internal river of the country which flows through Moldova from north to south."
729,Orașul Târgu Mureș are o ofertă bogată în ceea ce privește activitățile specifice turismului.,The city of Târgu Mureș has a rich offer for tourism-specific activities.
730,"tradițional al unității de dischetă nu lucrează decât intern, toate unitățile externe se conectează la","Traditional disk unit work only internally, all external units are connected to"
731,Caracterul unic al artei poloneze a reflectat întotdeauna tendințele mondiale.,The unique nature of the Polish arts always reflected world trends.
732,"În 1916, germanii au început o nouă ofensivă împotriva britanicilor, care aduceau tot mai mulți soldați și au introdus serviciul militar obligatoriu.","In 1916, Germans began a new offensive against British people, who were bringing in more and more soldiers and introducing compulsory military service."
733,"Domnul nu avea putere absolută, ci atribuții administrative, numind dregătorii, înființând dregătorii, coordona funcționarii.","Mr did not have absolute power but administrative powers, calling dregers, setting up dregers, coordinating officials."
734,Aici este un parc natural al stancilor si pinilor din Barbate.,It is here a natural park for chestnuts and pine from Barbate.
735,"Pentru bătălia din 8 ianuarie, Jackson a recunoscut un număr total de doar 71 victime.","For the battle on 8 January, Jackson recognised a total of only 71 victims."
736,Inelele fetelor sunt puse pe o vergea iar ale băieților pe alta.,The rings of girls are placed on one scale and those of boys on another.
737,"De asemenea, Irakul a atacat orașe iraniene și obiective economice, incendiind 10 instalații petroliere.","Iraq has also attacked Iranian cities and economic objectives, burning 10 oil facilities."
